Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,1.1225,0.9189,-0.0946,89.4518,1.092,0.836,-0.0604,87.4649,1.1382,0.9559,-0.042,90.5263,1.2253,1.0086,-0.0666,92.3086
Seasonal_Naive,1.4047,1.1021,-0.7142,66.1485,1.4995,1.1829,-0.9994,69.3981,1.5181,1.234,-0.8538,67.2314,1.7484,1.3493,-1.1715,66.5107
ETS,1.0314,0.7354,0.0758,50.4906,1.3571,1.0537,-0.6378,64.8586,1.6381,1.3524,-1.1582,73.9936,1.7457,1.3462,-1.1648,66.4646
RidgeSeasonalDecomp,1.1227,0.8598,-0.095,54.449,1.6801,1.3229,-1.51,74.2928,1.8553,1.5073,-1.7686,73.0714,1.3315,1.1146,-0.2595,80.7112
SARIMA,0.9184,0.6374,0.2672,49.0291,1.0929,0.8176,-0.062,72.3756,1.1715,0.9554,-0.104,76.4126,1.2534,1.0197,-0.116,83.7998
XGBoost,1.1674,0.9312,-0.1838,71.9841,1.0913,0.8257,-0.0589,82.3364,1.1832,0.9748,-0.126,81.2082,1.177,0.9939,0.016,79.6534
XGBoost_STL,1.0784,0.8565,-0.0102,69.9857,1.1331,0.8712,-0.1417,78.729,1.1143,0.9224,0.0013,79.029,1.2121,1.0102,-0.0438,82.0761
BaggedXGB,1.1147,0.8608,-0.0794,64.8136,1.1351,0.8871,-0.1457,76.0298,1.1978,1.0021,-0.154,79.5078,1.1891,0.956,-0.0044,69.0255
LightGBM,1.075,0.8013,-0.0039,58.9372,1.1797,0.8719,-0.2376,66.0433,1.3048,1.042,-0.3694,74.9332,1.2064,0.9652,-0.0338,70.1539
XGBoost_MV_Spatial,1.1324,0.8796,-0.114,67.3806,1.1048,0.829,-0.0854,76.5509,1.1895,0.9701,-0.1381,77.4391,1.2211,1.0427,-0.0593,79.5787
XGBoost_Quantile,1.124,0.8526,-0.0975,62.5615,1.1162,0.8488,-0.1079,68.1139,1.1972,0.9724,-0.1529,72.8645,1.1966,1.0014,-0.0171,75.2818
XGBoost_Telecon,1.1391,0.8857,-0.1273,67.8525,1.1532,0.8803,-0.1825,80.8895,1.2039,0.9839,-0.1659,79.7527,1.1863,0.9852,0.0003,78.9384
CatBoost,1.115,0.8712,-0.08,64.4071,1.1604,0.8929,-0.1974,68.144,1.2619,1.0036,-0.2809,72.4215,1.2059,0.9958,-0.0331,74.1979
Prophet,1.1014,0.9101,-0.0537,77.4711,1.0987,0.8289,-0.0734,70.8199,1.1384,0.9552,-0.0424,79.1567,1.1677,0.9661,0.0314,72.7186
PyTorchLSTM,0.5991,0.4859,0.3127,60.5539,0.7944,0.5945,-0.2461,86.331,0.8817,0.7242,-0.067,83.2447,1.2662,1.0079,-0.0304,83.6784
Ensemble,0.6071,0.4462,0.2943,51.6428,0.7344,0.5589,-0.0651,84.9135,0.8722,0.6788,-0.0441,69.3597,1.1314,0.9415,0.0906,79.3658
