Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,1.9607,1.0212,-0.0245,78.6244,1.2037,0.73,-0.0032,80.335,1.8379,1.1695,-0.0435,87.0044,1.1997,0.769,0.0426,83.1009
Seasonal_Naive,3.1318,1.9485,-1.6138,70.0174,2.1345,1.2956,-2.155,64.1822,2.5375,1.4891,-0.9891,63.4806,3.6082,1.8535,-7.6602,70.2353
ETS,1.4957,0.9118,0.0692,72.8793,1.1974,0.7838,0.0072,71.0195,1.8037,1.2393,-0.005,80.9895,1.1969,0.829,0.047,75.505
RidgeSeasonalDecomp,1.5142,1.0184,0.0461,64.1596,1.2626,0.9003,-0.1039,70.8421,1.869,1.4171,-0.0791,84.8331,1.299,0.9167,-0.1225,66.4397
SARIMA,1.4593,0.8393,0.1139,72.1645,1.1791,0.7649,0.0373,76.3749,1.7019,1.1252,0.1052,80.7447,1.1447,0.7705,0.1284,74.0733
XGBoost,2.0277,1.0022,-0.0957,62.3941,1.2715,0.7086,-0.1194,61.628,1.9142,1.1426,-0.1319,64.5709,1.2781,0.7676,-0.0865,68.1541
XGBoost_STL,2.0228,1.0165,-0.0904,62.9613,1.2157,0.6803,-0.0234,64.0612,1.9589,1.1632,-0.1854,69.2093,1.2478,0.763,-0.0357,73.2125
BaggedXGB,1.916,1.0733,0.0217,71.9943,1.2336,0.8294,-0.0538,73.5211,1.6919,1.1214,0.1157,69.5888,1.1229,0.7466,0.1613,73.1092
LightGBM,1.892,1.2592,0.0461,70.342,1.8249,1.2514,-1.306,71.3448,1.6375,1.1784,0.1717,62.9337,2.2116,1.3089,-2.2535,72.0204
XGBoost_MV_Spatial,2.0172,1.0524,-0.0844,65.0666,1.2596,0.7485,-0.0987,69.0441,1.8757,1.1662,-0.0869,71.2642,1.189,0.7466,0.0596,72.2847
XGBoost_Quantile,1.9139,0.9978,0.0238,65.2383,1.2088,0.7044,-0.0117,62.2177,1.8585,1.1353,-0.067,60.2375,1.2047,0.7667,0.0346,68.1645
XGBoost_Telecon,1.9991,1.0229,-0.065,66.1371,1.2569,0.7524,-0.0939,71.5399,1.8796,1.1554,-0.0913,67.8205,1.2132,0.7664,0.021,76.232
CatBoost,1.7867,1.0704,0.1493,71.4721,1.7622,1.215,-1.1502,77.9573,1.6702,1.1651,0.1382,65.9007,1.3273,0.9028,-0.1718,74.1518
Prophet,1.3813,0.872,0.2062,69.1085,1.185,0.8259,0.0276,69.4534,1.7137,1.2586,0.0928,79.7419,1.1777,0.8737,0.0773,72.6991
PyTorchLSTM,0.6023,0.5199,0.072,73.4886,0.7974,0.5866,0.0592,70.0053,1.365,0.9722,-0.0958,91.9824,1.0354,0.7334,-0.1242,76.7485
Ensemble,0.6123,0.4966,0.0407,68.2399,0.8499,0.6129,-0.0689,76.4547,1.36,0.9691,-0.0878,84.9867,0.9806,0.6538,-0.0083,75.6701
