Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,2.7031,1.1262,-0.0197,90.1677,2.5208,0.9541,-0.0103,90.6103,1.3033,0.7516,0.086,89.6057,0.821,0.5469,-0.0738,89.8241
Seasonal_Naive,2.7976,1.1776,-0.0922,57.9734,2.9334,1.1853,-0.3681,54.1274,1.4672,0.8256,-0.1584,49.5378,3.4605,1.3427,-18.0749,47.4308
ETS,0.926,0.6332,-0.0106,97.0136,0.8942,0.6095,-0.0072,98.403,0.9148,0.6279,-0.0037,97.6719,0.806,0.5265,-0.0347,96.5506
RidgeSeasonalDecomp,1.1488,0.7682,-0.5553,57.3633,0.9889,0.6655,-0.2318,82.6552,0.9524,0.6084,-0.0879,74.9928,0.7944,0.4917,-0.0053,72.5473
SARIMA,0.9729,0.6476,-0.1155,81.2496,0.922,0.6112,-0.0709,87.8694,0.9098,0.6095,0.0072,83.9915,0.8088,0.5236,-0.0419,86.46
XGBoost,2.7861,1.063,-0.0833,59.3994,2.5589,0.8727,-0.0411,55.7103,1.3355,0.6603,0.0403,51.8903,0.8071,0.4207,-0.0375,46.1353
XGBoost_STL,2.7765,1.06,-0.0758,60.8914,2.5591,0.8681,-0.0413,57.854,1.392,0.6684,-0.0426,52.2206,0.7931,0.4189,-0.0018,50.2972
BaggedXGB,2.7725,1.1078,-0.0727,71.176,2.5885,0.9172,-0.0653,61.9397,1.3026,0.7603,0.087,61.5447,0.8407,0.4984,-0.1259,63.9988
LightGBM,2.9091,1.286,-0.181,76.9946,2.6163,1.033,-0.0884,68.4138,1.2293,0.8642,0.1868,67.3667,1.1248,0.7809,-1.0154,74.4225
XGBoost_MV_Spatial,2.7835,1.0549,-0.0813,61.3851,2.603,0.8921,-0.0773,58.049,1.316,0.6922,0.0681,55.5687,0.8012,0.4333,-0.0224,51.3971
XGBoost_Quantile,2.8233,1.0914,-0.1124,60.5197,2.5961,0.8586,-0.0716,47.6381,1.4087,0.6674,-0.0679,46.0642,0.8318,0.3726,-0.1021,38.6652
XGBoost_Telecon,2.7794,1.0468,-0.0781,57.6517,2.5935,0.8825,-0.0694,55.9518,1.3184,0.6985,0.0647,58.2538,0.8035,0.4368,-0.0285,52.4519
CatBoost,2.7283,1.1118,-0.0388,90.1683,2.6066,0.9803,-0.0803,66.7477,1.2786,0.7508,0.1203,70.4389,0.8532,0.5754,-0.1596,77.8664
Prophet,0.9181,0.6036,0.0066,74.0817,0.9208,0.6249,-0.0679,85.2425,0.898,0.5937,0.0328,76.011,0.7931,0.5246,-0.0019,81.5493
PyTorchLSTM,0.9254,0.6164,-0.0207,88.367,0.9658,0.6727,-0.0422,91.1394,1.1508,0.6741,-0.0179,87.38,1.2431,0.7679,-0.082,82.3091
Ensemble,0.9403,0.5918,-0.0539,71.3456,1.0066,0.69,-0.1321,86.5308,1.1009,0.6578,0.0685,76.7263,0.7871,0.471,0.0133,70.3608
