Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,1.0378,0.6286,-0.0221,86.5628,0.8277,0.5451,-0.0426,87.7508,0.8387,0.5783,-0.0773,89.9545,1.1175,0.7508,-0.0616,95.0189
Seasonal_Naive,1.3466,0.7968,-0.7209,53.1671,1.396,0.8321,-1.9655,60.5694,1.2149,0.7132,-1.2604,53.8204,1.7042,0.992,-1.469,54.1612
ETS,0.5252,0.4043,-0.0634,68.9502,0.5369,0.4107,-0.0365,71.6527,0.6175,0.4635,-0.0236,74.6314,0.8178,0.5722,-0.0164,73.1839
RidgeSeasonalDecomp,0.751,0.5501,-1.1746,60.7478,0.5884,0.4543,-0.245,73.0932,0.6495,0.4884,-0.1323,73.2792,0.8391,0.6081,-0.07,79.359
SARIMA,0.532,0.3915,-0.0913,63.4061,0.5499,0.4152,-0.0871,71.7557,0.6178,0.4487,-0.0246,66.5316,0.8188,0.5674,-0.0189,70.8097
XGBoost,1.0525,0.5708,-0.0512,62.7884,0.8268,0.4895,-0.0402,66.7042,0.8254,0.5276,-0.0435,71.4983,1.1553,0.7022,-0.1347,63.7491
XGBoost_STL,1.0384,0.5555,-0.0232,61.481,0.817,0.4734,-0.0158,61.5127,0.8153,0.5147,-0.018,67.11,1.1371,0.694,-0.0993,64.0692
BaggedXGB,1.0537,0.6329,-0.0537,77.2328,0.7864,0.4831,0.0589,68.239,0.8086,0.5723,-0.0014,76.0481,1.139,0.7256,-0.1029,75.7755
LightGBM,1.0125,0.6736,0.0271,68.6068,0.887,0.5784,-0.1973,69.0774,0.9554,0.7061,-0.3981,76.4866,1.2136,0.8172,-0.252,78.2709
XGBoost_MV_Spatial,0.9833,0.5506,0.0824,64.9652,0.8115,0.4869,-0.0021,68.7091,0.8177,0.5299,-0.0241,67.982,1.1413,0.6987,-0.1073,66.3616
XGBoost_Quantile,0.993,0.537,0.0643,59.734,0.8457,0.5025,-0.0884,63.5695,0.7963,0.4803,0.0289,57.6202,1.157,0.7081,-0.138,63.2083
XGBoost_Telecon,1.0453,0.5711,-0.0369,63.1633,0.8131,0.4821,-0.0059,67.5627,0.8217,0.5401,-0.034,73.306,1.1543,0.7146,-0.1326,68.1684
CatBoost,1.0389,0.6574,-0.0243,77.1986,0.8,0.5043,0.0261,76.815,0.878,0.6544,-0.1806,79.9373,1.0945,0.72,-0.0184,84.5765
Prophet,0.5351,0.3826,-0.104,60.2859,0.5526,0.395,-0.0982,64.2371,0.6221,0.432,-0.0389,63.705,0.8023,0.5009,0.0217,54.2444
PyTorchLSTM,0.6463,0.4468,-0.1313,73.2162,0.6726,0.5097,-0.1003,83.7112,0.581,0.4655,-0.1105,67.2976,0.6392,0.5492,-0.0022,73.4501
Ensemble,0.6205,0.4042,-0.0426,64.2712,0.6549,0.4831,-0.0431,75.082,0.5748,0.4614,-0.0867,68.0037,0.6358,0.5434,0.0085,71.3733
