Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,1.6747,0.7669,0.0151,65.591,1.6108,0.7071,0.0272,58.5645,1.1895,0.6544,0.0138,67.6955,0.714,0.4514,0.1436,64.3097
Seasonal_Naive,1.979,1.0361,-0.3753,52.255,2.2579,1.1112,-0.9114,48.3446,1.7898,1.1282,-1.233,57.1438,1.339,0.7759,-2.0122,50.6075
ETS,0.6684,0.4524,-0.1815,53.42,0.9051,0.6154,-0.4075,65.3636,0.9055,0.5785,0.1114,57.0223,0.6754,0.4185,0.1272,47.3997
RidgeSeasonalDecomp,0.8431,0.5835,-0.8799,45.6742,0.8537,0.6082,-0.2521,64.8627,0.9077,0.6311,0.1071,60.4401,0.7944,0.5606,-0.2075,63.8661
SARIMA,0.607,0.3715,0.0256,42.9176,0.7976,0.4789,-0.093,55.6525,0.865,0.4824,0.1891,50.6416,0.6447,0.3794,0.2048,50.4485
XGBoost,0.5689,0.3362,0.1441,38.2535,1.4531,0.8188,-0.108,66.3024,0.8652,0.5809,0.1888,47.8858,0.8488,0.4313,0.1456,45.7962
XGBoost_STL,0.6007,0.3606,0.0459,37.0341,1.3974,0.583,-0.0247,39.6146,0.9147,0.4876,0.0932,37.3525,0.8861,0.4468,0.0689,34.8613
BaggedXGB,0.5901,0.3402,0.0791,42.3344,1.5434,0.9818,-0.2499,69.9337,0.9816,0.7873,-0.0443,52.625,0.856,0.4897,0.131,46.4121
LightGBM,0.7004,0.4687,-0.2974,49.6319,1.5336,1.0059,-0.2341,71.6378,1.1232,0.8891,-0.3673,57.2807,1.0289,0.6012,-0.2554,45.6266
XGBoost_MV_Spatial,0.5808,0.3385,0.1081,38.9243,1.4712,0.8516,-0.1357,67.5482,0.8766,0.6546,0.1673,47.1523,0.8226,0.4215,0.1976,43.2337
XGBoost_Quantile,0.582,0.2847,0.1042,31.5921,1.4837,0.7048,-0.1551,52.0276,0.8915,0.4628,0.1387,38.1741,0.8544,0.4321,0.1343,38.6486
XGBoost_Telecon,0.5819,0.3345,0.1046,38.6825,1.4741,0.844,-0.1402,67.1324,0.8853,0.6627,0.1506,49.3037,0.8281,0.4266,0.1868,41.699
CatBoost,0.5749,0.3815,0.1261,48.1399,1.6543,1.1068,-0.4359,67.4894,0.9271,0.7222,0.0685,55.7875,0.8232,0.4689,0.1964,55.5926
Prophet,0.5867,0.3788,0.0896,51.0138,0.8228,0.5377,-0.1632,59.8802,0.8727,0.5121,0.1746,53.6,0.6526,0.3836,0.1852,46.4693
PyTorchLSTM,0.4822,0.3566,-2.4942,39.0558,0.8748,0.5204,-0.1496,47.3234,0.4147,0.3478,-0.7363,42.7116,0.6808,0.3679,0.0193,33.545
Ensemble,0.3052,0.2429,-0.4001,34.4193,0.8169,0.4736,-0.0024,56.1422,0.4207,0.3446,-0.7873,52.4492,0.6363,0.3582,0.1432,47.238
