Model,h1_RMSE,h1_MAE,h1_R²,h1_SMAPE,h3_RMSE,h3_MAE,h3_R²,h3_SMAPE,h6_RMSE,h6_MAE,h6_R²,h6_SMAPE,h12_RMSE,h12_MAE,h12_R²,h12_SMAPE
Monthly_Climatology,1.0054,0.7316,-0.0169,84.8684,1.0507,0.7451,-0.0653,85.1468,1.1408,0.871,-0.0375,89.0458,1.0717,0.8581,-0.0429,90.1317
Seasonal_Naive,1.2248,0.8972,-0.5092,67.562,1.554,1.1019,-1.3303,71.0959,1.6379,1.0932,-1.1388,58.01,1.7948,1.2073,-1.9252,65.787
ETS,1.0009,0.7365,-0.0078,92.123,1.0176,0.7285,0.0007,86.9436,1.1242,0.8695,-0.0076,91.2121,1.0507,0.8512,-0.0025,93.9766
RidgeSeasonalDecomp,1.5248,1.1336,-1.3393,75.478,1.1042,0.8183,-0.1765,72.3629,1.1553,0.9274,-0.0641,77.5947,1.0651,0.9026,-0.0302,91.146
SARIMA,1.0012,0.7239,-0.0085,80.9569,1.0634,0.7566,-0.0912,82.4404,1.1299,0.8561,-0.0178,83.464,1.0603,0.8563,-0.0209,87.6605
XGBoost,0.9875,0.6858,0.0189,69.1492,1.0618,0.7136,-0.088,67.3422,1.1649,0.8591,-0.0819,75.0209,1.0715,0.8191,-0.0425,74.5687
XGBoost_STL,1.0153,0.7146,-0.0371,72.8959,1.0309,0.7048,-0.0255,65.9052,1.1491,0.8485,-0.0527,71.5487,1.0563,0.8147,-0.0132,73.2779
BaggedXGB,1.0409,0.7447,-0.0901,71.4014,1.0402,0.7174,-0.044,67.0671,1.1602,0.9159,-0.0732,79.2047,1.0657,0.8035,-0.0312,69.0897
LightGBM,1.1247,0.8206,-0.2725,69.3441,1.0895,0.8285,-0.1454,72.9056,1.214,0.9722,-0.175,76.7526,1.1078,0.8463,-0.1144,66.4053
XGBoost_MV_Spatial,1.0323,0.7244,-0.0721,72.8524,1.0725,0.7073,-0.11,62.7955,1.1674,0.8672,-0.0864,76.3196,1.0712,0.8132,-0.0419,74.1305
XGBoost_Quantile,1.0609,0.7385,-0.1323,66.1041,1.0651,0.7678,-0.0946,74.1072,1.1791,0.8763,-0.1083,73.8966,1.0373,0.7501,0.023,63.0674
XGBoost_Telecon,1.014,0.7129,-0.0345,71.7749,1.0409,0.6938,-0.0454,63.8177,1.1706,0.8583,-0.0925,73.2148,1.0613,0.8038,-0.0228,74.1213
CatBoost,1.0181,0.7478,-0.0428,77.4812,1.0465,0.747,-0.0568,74.6685,1.1362,0.9055,-0.0292,84.4352,1.0593,0.8309,-0.0189,78.4064
Prophet,1.0343,0.7656,-0.0763,75.5116,1.0434,0.758,-0.0505,77.1935,1.0307,0.7813,0.1531,69.006,1.0239,0.8352,0.0481,75.1639
PyTorchLSTM,0.613,0.4749,-0.0007,76.648,1.0143,0.7038,0.0017,78.4289,1.4832,1.1152,-0.119,89.4726,1.0025,0.8481,-0.1725,89.7459
Ensemble,0.62,0.4884,-0.0235,80.3825,1.0273,0.6932,-0.0242,69.0192,1.0958,0.8579,0.0428,90.3532,0.8979,0.7558,0.0594,80.0167
